epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,140.229,1.65123,2.74281,1.5656,0.00832,0.84264,0.2308,0.11608,1.64111,3.18035,1.45724,0.00058,0.00058,0.00058
2,271.277,1.54824,2.07257,1.49906,0.0722,0.09391,0.02122,0.00795,2.05574,3.61015,1.97401,0.00115664,0.00115664,0.00115664
3,487.559,1.61238,2.15377,1.59149,0.12411,0.17766,0.05324,0.01917,2.03809,3.54245,2.03596,0.00170951,0.00170951,0.00170951
4,695.309,1.60972,2.06728,1.58923,0.00603,0.32487,0.00442,0.00213,2.09383,269.495,2.19918,0.0018812,0.0018812,0.0018812
5,919.564,1.63421,1.89791,1.60866,0.28514,0.31283,0.14903,0.06032,2.10017,3.40452,2.02837,0.0018416,0.0018416,0.0018416
6,1161.39,1.60225,1.75388,1.53945,0.45015,0.40355,0.36588,0.1563,1.91173,2.48816,1.75729,0.001802,0.001802,0.001802
7,1402.71,1.60471,1.7326,1.55594,0.57067,0.41624,0.44835,0.21093,1.83364,2.22016,1.69179,0.0017624,0.0017624,0.0017624
8,1643.2,1.57368,1.67083,1.52088,0.35711,0.22843,0.22732,0.11545,1.9691,2.94392,1.95007,0.0017228,0.0017228,0.0017228
9,1873.75,1.48105,1.63336,1.47848,0.58614,0.46954,0.51778,0.26795,1.66165,1.91421,1.55532,0.0016832,0.0016832,0.0016832
10,2038.88,1.49163,1.50099,1.45778,0.54337,0.45001,0.45674,0.22447,1.80717,2.04399,1.62624,0.0016436,0.0016436,0.0016436
11,2207.37,1.47969,1.49489,1.42783,0.64139,0.52792,0.58248,0.2965,1.66621,1.79093,1.55546,0.001604,0.001604,0.001604
12,2376.91,1.46028,1.45296,1.41716,0.67026,0.53299,0.59212,0.31487,1.59208,1.71824,1.47795,0.0015644,0.0015644,0.0015644
13,2544.43,1.49935,1.45699,1.47418,0.65293,0.48985,0.56195,0.28862,1.6554,1.82579,1.53785,0.0015248,0.0015248,0.0015248
14,2701.5,1.45595,1.42067,1.43839,0.70328,0.48985,0.59088,0.31986,1.56707,1.61457,1.47302,0.0014852,0.0014852,0.0014852
15,2859.54,1.40182,1.3632,1.37825,0.69012,0.57614,0.64334,0.32744,1.55631,1.57018,1.45174,0.0014456,0.0014456,0.0014456
16,3015.68,1.42016,1.43058,1.40924,0.67988,0.59645,0.64542,0.34698,1.49626,1.61576,1.43812,0.001406,0.001406,0.001406
17,3172.79,1.38145,1.35102,1.37623,0.6871,0.5629,0.62204,0.33682,1.53966,1.63775,1.47782,0.0013664,0.0013664,0.0013664
18,3332.55,1.38816,1.29698,1.36864,0.74962,0.49394,0.61326,0.34099,1.51908,1.54504,1.43545,0.0013268,0.0013268,0.0013268
19,3498.61,1.30512,1.25808,1.33997,0.7739,0.54061,0.66264,0.34955,1.523,1.52513,1.41777,0.0012872,0.0012872,0.0012872
20,3663.07,1.3701,1.21373,1.34501,0.63452,0.58629,0.64012,0.35759,1.51108,1.52806,1.44166,0.0012476,0.0012476,0.0012476
21,3825.27,1.37311,1.23781,1.35337,0.64738,0.5533,0.62471,0.35555,1.45118,1.51747,1.40531,0.001208,0.001208,0.001208
22,3988.18,1.34128,1.23109,1.35041,0.69193,0.60996,0.65652,0.36876,1.46425,1.4935,1.39681,0.0011684,0.0011684,0.0011684
23,4147.34,1.31113,1.21577,1.3456,0.73653,0.58891,0.6795,0.38183,1.45271,1.42803,1.40807,0.0011288,0.0011288,0.0011288
24,4315.28,1.28129,1.16398,1.302,0.73083,0.57107,0.67521,0.40113,1.42246,1.42525,1.38189,0.0010892,0.0010892,0.0010892
25,4479.88,1.29526,1.1153,1.30324,0.67502,0.5641,0.6048,0.33321,1.50107,1.55552,1.43374,0.0010496,0.0010496,0.0010496
26,4638.41,1.27896,1.17801,1.33427,0.67515,0.62772,0.66951,0.38051,1.46959,1.41278,1.40434,0.00101,0.00101,0.00101
27,4798.38,1.20329,1.06714,1.26271,0.69612,0.63452,0.68879,0.38489,1.4663,1.39115,1.42138,0.0009704,0.0009704,0.0009704
28,4956.68,1.1973,1.07399,1.27038,0.75832,0.54951,0.68071,0.40014,1.43065,1.38706,1.3847,0.0009308,0.0009308,0.0009308
